Hz,
7.55e+08,-0.0644705
7.5525e+08,-0.0700325
7.555e+08,-0.06717
7.5575e+08,-0.0681885
7.56e+08,-0.066374
7.5625e+08,-0.0688769
7.565e+08,-0.0647788
7.5675e+08,-0.0683383
7.57e+08,-0.0705856
7.5725e+08,-0.0701097
7.575e+08,-0.0716275
7.5775e+08,-0.0711177
7.58e+08,-0.0751913
7.5825e+08,-0.0795498
7.585e+08,-0.0767761
7.5875e+08,-0.0797874
7.59e+08,-0.0790395
7.5925e+08,-0.0845126
7.595e+08,-0.0861194
7.5975e+08,-0.0875113
7.6e+08,-0.08914
7.6025e+08,-0.094013
7.605e+08,-0.0948694
7.6075e+08,-0.100058
7.61e+08,-0.101019
7.6125e+08,-0.104208
7.615e+08,-0.109968
7.6175e+08,-0.116205
7.62e+08,-0.124015
7.6225e+08,-0.129498
7.625e+08,-0.134329
7.6275e+08,-0.144462
7.63e+08,-0.151356
7.6325e+08,-0.161621
7.635e+08,-0.172285
7.6375e+08,-0.189785
7.64e+08,-0.204847
7.6425e+08,-0.224413
7.645e+08,-0.245937
7.6475e+08,-0.270711
7.65e+08,-0.300578
7.6525e+08,-0.338262
7.655e+08,-0.377135
7.6575e+08,-0.427548
7.66e+08,-0.485457
7.6625e+08,-0.559698
7.665e+08,-0.647748
7.6675e+08,-0.76007
7.67e+08,-0.899233
7.6725e+08,-1.06908
7.675e+08,-1.30322
7.6775e+08,-1.59066
7.68e+08,-1.97313
7.6825e+08,-2.48013
7.685e+08,-3.13035
7.6875e+08,-3.95295
7.69e+08,-4.90511
7.6925e+08,-5.80347
7.695e+08,-6.30854
7.6975e+08,-6.13363
7.7e+08,-5.41723
7.7025e+08,-4.52333
7.705e+08,-3.70153
7.7075e+08,-3.02208
7.71e+08,-2.49126
7.7125e+08,-2.07498
7.715e+08,-1.75841
7.7175e+08,-1.50975
7.72e+08,-1.31039
7.7225e+08,-1.16102
7.725e+08,-1.03499
7.7275e+08,-0.937099
7.73e+08,-0.857345
7.7325e+08,-0.791111
7.735e+08,-0.739415
7.7375e+08,-0.69563
7.74e+08,-0.658449
7.7425e+08,-0.632867
7.745e+08,-0.610882
7.7475e+08,-0.593268
7.75e+08,-0.581196
7.7525e+08,-0.573516
7.755e+08,-0.570553
7.7575e+08,-0.566343
7.76e+08,-0.56636
7.7625e+08,-0.571807
7.765e+08,-0.580067
7.7675e+08,-0.591535
7.77e+08,-0.602932
7.7725e+08,-0.621702
7.775e+08,-0.638346
7.7775e+08,-0.659483
7.78e+08,-0.684966
7.7825e+08,-0.710825
7.785e+08,-0.746106
7.7875e+08,-0.778525
7.79e+08,-0.81901
7.7925e+08,-0.854657
7.795e+08,-0.895958
7.7975e+08,-0.943132
7.8e+08,-0.991143
7.8025e+08,-1.04481
7.805e+08,-1.09633
7.8075e+08,-1.15186
7.81e+08,-1.21057
7.8125e+08,-1.26681
7.815e+08,-1.33302
7.8175e+08,-1.39719
7.82e+08,-1.46044
7.8225e+08,-1.53205
7.825e+08,-1.61392
7.8275e+08,-1.70085
7.83e+08,-1.80876
7.8325e+08,-1.94158
7.835e+08,-2.11455
7.8375e+08,-2.35015
7.84e+08,-2.69312
7.8425e+08,-3.21422
7.845e+08,-4.04196
7.8475e+08,-5.41073
7.85e+08,-7.53736
7.8525e+08,-9.31509
7.855e+08,-7.6237
7.8575e+08,-4.93098
7.86e+08,-3.18815
7.8625e+08,-2.19044
7.865e+08,-1.60991
7.8675e+08,-1.25344
7.87e+08,-1.02064
7.8725e+08,-0.867056
7.875e+08,-0.751439
7.8775e+08,-0.667094
7.88e+08,-0.602811
7.8825e+08,-0.545352
7.885e+08,-0.508928
7.8875e+08,-0.471366
7.89e+08,-0.44247
7.8925e+08,-0.417046
7.895e+08,-0.395034
7.8975e+08,-0.371113
7.9e+08,-0.354816
7.9025e+08,-0.338659
7.905e+08,-0.321267
7.9075e+08,-0.304995
7.91e+08,-0.293508
7.9125e+08,-0.282362
7.915e+08,-0.267691
7.9175e+08,-0.262008
7.92e+08,-0.250349
7.9225e+08,-0.241351
7.925e+08,-0.234426
7.9275e+08,-0.226155
7.93e+08,-0.218405
7.9325e+08,-0.211031
7.935e+08,-0.205379
7.9375e+08,-0.198989
7.94e+08,-0.195237
7.9425e+08,-0.193845
7.945e+08,-0.182822
7.9475e+08,-0.179527
7.95e+08,-0.175092
7.9525e+08,-0.172831
7.955e+08,-0.168313
7.9575e+08,-0.162602
7.96e+08,-0.159253
7.9625e+08,-0.152475
7.965e+08,-0.152804
7.9675e+08,-0.1503
7.97e+08,-0.146812
7.9725e+08,-0.143357
7.975e+08,-0.139987
7.9775e+08,-0.140053
7.98e+08,-0.134375
7.9825e+08,-0.134766
7.985e+08,-0.130038
7.9875e+08,-0.130709
7.99e+08,-0.129023
7.9925e+08,-0.124675
7.995e+08,-0.122283
7.9975e+08,-0.121659
8e+08,-0.122031
8.0025e+08,-0.118608
8.005e+08,-0.119749
8.0075e+08,-0.117509
8.01e+08,-0.111672
8.0125e+08,-0.113613
8.015e+08,-0.113413
8.0175e+08,-0.111578
8.02e+08,-0.107398
8.0225e+08,-0.107927
8.025e+08,-0.10475
8.0275e+08,-0.10707
8.03e+08,-0.106264
8.0325e+08,-0.102623
8.035e+08,-0.107636
8.0375e+08,-0.100787
8.04e+08,-0.102571
8.0425e+08,-0.106093
8.045e+08,-0.102011
8.0475e+08,-0.101891
8.05e+08,-0.101621
